JobCode,deptcount,srhrs,midhrs,jrhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
D6187,2,0,11,37,2,2,38,19,5,4,0
A6624,5,13,16,19,1,19,69,102,9,4,0
M8126,3,3,34.75,10.5,3,4,60,104,6,4,0
B6030,5,3.5,45,0,1,1,15,26,7,5,0
D5066,2,0,1,48,2,10,44,30,3,0,1
C5145,8,0,32.5,17,1,33,174,478,22,0,0
C6744,4,0,42.5,7,1,37,87,46,6,7,0
C6566,4,9,0,41,1,16,31,76,9,6,0
A6250,8,12,10,28,1,23,69,197,12,4,1
10805091,5,47,3,0,1,7,200,127,5,10,1
D6244,4,0,25,25,1,6,26,45,6,4,0
C6962,4,10,20.5,20.25,1,8,18,39,8,4,0
C6926,6,41.5,9.5,0,2,30,44,102,12,4,1
10804563,2,0,51,0,2,1,116,17,2,5,1
M9136,1,16.25,34.75,0.25,1,12,78,122,7,4,1
A6811,6,3.5,18.25,29.5,2,19,32,159,12,4,1
C5833,3,13.5,0,38,1,26,90,49,4,0,1
C6266,5,0,41.5,10,1,8,73,139,12,5,1
D6369,5,12,0,40,1,14,181,125,8,4,0
C6357,4,0,0,52,1,14,126,69,6,7,0
C6960,4,0,9,43,1,19,37,94,10,5,0
B6093,5,9.25,0,43,1,9,29,134,11,0,0
S5637,1,0,23,29.25,1,0,29,48,7,4,0
M5151,2,3,49.5,0,1,9,30,44,4,5,0
K7489,6,11.5,5.5,36,1,24,82,140,10,5,0
10804890,5,0,18,35.25,1,31,100,70,9,0,1
B6560,2,30,24,0,1,2,28,9,2,0,1
D6159,4,1.5,29,23.5,1,4,26,19,5,4,1
B6513,4,2,20.5,32,1,15,38,55,9,4,0
C6824,5,7.5,40,7.25,1,17,44,79,9,4,0
B6118,3,16,24,15,2,5,61,33,5,4,0
A6419,3,3.5,0,52,2,13,52,96,5,6,0
D6121,4,29,26.75,0,1,0,23,106,10,6,0
D6289,5,1,5.5,49.5,2,30,62,47,9,5,0
C6486,2,0,56,0,3,0,50,28,4,0,0
B6447,4,0.5,30.5,25,1,0,14,36,7,6,0
C6667,4,24.25,28,4,2,8,38,44,8,8,0
10804420,2,0,53,3.5,1,98,155,169,9,4,1
10804893,2,0,57.5,0,1,31,139,42,4,7,0
A6249,6,8,16.5,33,1,13,42,143,11,0,1
C5898,4,32.75,8.5,16.5,1,28,123,272,10,0,1
A6942,2,0,35,23,1,18,18,20,6,6,0
M8122,3,10,28.75,19.5,4,4,30,103,11,6,0
B6015,3,59,0,0,2,5,81,45,4,8,0
B6845,4,12.5,46.5,0,1,27,109,105,6,4,0
C6000,5,0,6,53,1,8,15,34,7,4,0
A6438,4,23,0,36,1,9,34,60,9,0,1
B6070,3,0.75,0,59.25,2,0,4,15,6,4,0
B6964,3,23,12,25,1,0,8,7,4,4,0
C6602,5,10,5,45,1,17,21,68,11,4,0
D6211,7,56.5,4,0,1,30,30,48,8,4,1
D6027,3,2.25,11,47.25,1,15,40,127,8,6,0
B6434,5,8.5,40.5,12,1,4,33,116,10,6,0
D6035,2,55,6,0,2,1,35,20,3,5,0
C6515,6,17.5,20.5,23,1,22,46,146,15,0,1
C6278,6,4.5,51.75,5,1,37,107,85,9,7,0
B6053,6,52.75,8.75,0,2,113,115,228,11,8,1
A6866,3,55,7,0,1,11,18,21,8,0,1
A6799,4,18,36,8,2,3,11,32,8,0,0
C6768,4,0,20,42,1,4,31,23,5,6,0
B6791,3,0,20,42,1,3,24,21,5,0,0
B6538,2,1,37,24,1,1,23,28,5,7,0
B6146,3,14,8,40,1,23,108,52,6,8,0
B6029,2,0,20,42.25,2,3,14,10,4,5,1
B6622,4,8.25,6,48.5,1,59,68,271,13,6,0
M5286,2,2.25,9.25,51.5,1,16,92,157,10,6,0
B6578,5,63,0,0,1,5,15,4,6,4,1
B6956,2,1.25,0,62,1,7,42,98,8,6,0
A6435,2,0,0,63.5,3,9,42,51,7,0,1
S5464,1,31,32.5,0,1,37,87,106,5,4,0
M5170,4,23,40.75,0,1,16,120,112,5,4,1
M7170,4,17.25,4,42.5,2,46,118,123,9,6,1
B6261,2,0,52,12,1,1,41,22,4,0,0
A6781,4,12.5,8,43.5,1,14,45,52,8,4,0
10680351,5,2,22.75,39.5,1,27,54,128,9,4,0
A6017,7,13,9.5,42,1,36,90,174,12,0,0
A6824,2,24.5,38.5,1.5,2,9,43,48,4,4,1
D6362,2,0,6,58.75,1,2,34,43,4,4,1
A6845,2,35,30,0,2,0,15,17,2,4,0
10804758,5,1,64,0,2,28,113,150,12,5,0
J6671,11,65,0,0,4,0,181,653,31,5,1
C6583,5,45,20.5,0,3,28,42,33,9,0,1
A6938,5,19,24.5,22,1,47,118,154,13,0,0
C6871,8,0,34,32,3,14,67,182,20,4,1
S5654,1,0.5,65.5,0,1,12,61,139,9,5,0
A6808,5,16,4,46,1,3,15,71,10,5,0
A6834,5,23.75,32.5,10.25,1,17,37,132,13,4,1
J6625R ,2,0,26,40.5,1,8,22,9,4,0,1
C6075,4,24.5,35,7.5,3,19,33,81,13,4,0
D6220,3,0,36,31,2,90,162,161,10,6,0
10803555,3,47.5,0,19.5,1,58,185,80,6,5,0
C6569,3,0,27.5,40,2,1,30,90,6,0,0
10605894,4,1,42.5,24.5,1,36,210,62,6,5,0
C6263,3,11,29,28,1,7,51,41,5,5,0
M5209,2,0,68,0,1,3,146,88,3,0,1
C6312,8,17,44,7,1,7,17,133,18,0,1
C5601,3,22,46.5,0,1,136,368,293,7,0,0
A6692,4,6,18.5,44,1,9,23,48,9,0,1
M5263,3,14.5,11.5,42.75,2,76,157,195,9,4,1
M5254,1,0,69,0,1,3,65,70,4,0,1
A6814,7,18.75,24,26.5,1,36,43,109,13,5,0
G8129,4,30,38.5,1,1,32,64,61,8,9,0
C6872,9,38.25,4,28,2,36,46,176,16,6,1
10805215,3,40,22.5,8,1,84,211,90,7,8,1
B6081,6,41.5,10.5,19,2,5,18,72,11,6,1
D6204,6,53.25,18,0,1,37,46,81,10,5,0
C6774,5,5.5,2,64,2,113,137,154,9,4,0
C6516,4,8.75,2,60.75,1,100,157,424,15,6,0
M7153,3,24,7.25,40.5,2,31,189,172,6,5,0
10805263,6,20,52.25,0,1,41,241,252,13,4,1
C6452,6,11.5,53,8,1,11,21,45,9,6,1
C6665,7,17,43,13,1,10,27,80,10,0,0
B6594,4,37.5,0,36,3,7,14,39,8,0,0
M8121,2,0,51.25,22.5,2,9,30,83,8,4,1
10803570,4,7,9,57.75,2,29,58,54,9,4,1
A6735,3,35.5,37,1.5,2,2,9,46,8,8,0
H9131R,2,0,24,50,1,19,85,19,4,0,1
B6479,6,1,38.5,34.75,1,8,18,57,9,4,0
A6674,3,6.5,20.5,47.75,1,14,51,22,4,0,0
A6756,2,0,6,68.75,2,9,34,75,7,5,1
H9132,6,70.5,5,0,3,37,100,60,9,6,1
A6107,6,35.75,29.5,10.25,1,1,23,91,11,6,0
B6734,5,0,43,33,2,91,183,340,13,8,0
C6454,4,23,53,0,1,3,12,57,6,0,1
A6078,3,48,0,28,1,7,44,26,5,5,1
B6680,5,12.75,8.5,55,1,100,136,216,14,0,1
C6589,2,10,63.5,3,2,8,10,39,8,0,0
C6525,11,52.5,0,24,2,32,79,121,22,10,1
B6893,3,76.75,0,0,1,6,52,79,6,4,1
A6147,4,18,58.75,0,3,104,417,452,8,4,0
A7169,3,74,3,0,2,38,24,73,7,5,1
C6038,4,0,72,5,2,1,34,49,8,9,0
S5415,2,0,74,3,1,0,28,35,7,4,1
A6728,6,3,0,74,1,6,116,127,11,7,0
A6346,6,6.25,35.5,35.5,2,5,28,140,11,5,1
D5053,3,6,8,64.5,1,18,41,45,6,0,0
K7425,5,0,35.5,43,2,108,311,401,9,0,0
B6498,5,57.25,13.5,8,1,22,42,38,6,5,1
B6167,4,0,47,32,1,2,27,36,6,0,1
A6734,3,0,55,24,1,3,23,31,6,6,0
C6378,6,5,21.5,52.5,1,9,46,34,6,4,0
C6976,5,13.5,66,0,1,7,52,52,6,6,0
D6224,4,61,16,2.5,1,7,13,15,7,5,0
C6366,5,0,50,30,1,14,70,154,13,4,0
B6065,2,0.5,75.25,4.5,1,26,149,245,7,5,1
D5173,7,60.5,20,0,2,28,74,190,13,0,1
C6759,4,9.5,10,61.75,3,21,41,69,10,4,1
A6447,4,24,24,33.5,2,3,32,32,7,5,1
K7488,6,11,10.5,60,1,29,82,136,10,6,1
C6303,2,6,24,51.5,1,19,65,126,10,4,0
A6833,4,11,33.75,37,1,19,205,123,8,5,0
A6988,4,3.5,78.5,0,2,31,139,118,7,4,1
C5996,5,1.5,58.5,22,2,36,72,100,9,0,0
A6651,5,16,37,29,1,3,36,68,5,5,1
10805125,2,80,2,0,1,0,34,6,2,5,1
A6616,4,0,53,30,1,2,22,41,7,8,1
C6375,3,18.25,65,0,1,2,36,29,3,4,1
B6241,4,5.5,30,48,1,37,90,27,5,4,0
B6828,6,9.5,43,31.5,1,9,32,25,7,4,0
C6468,5,32,4,48,1,30,73,78,5,0,0
K7436,2,77.5,7,0,1,82,339,70,3,0,1
S5405,3,2,74.5,8,1,39,148,155,8,4,1
A6736,3,6,34,44.5,2,4,17,99,9,0,0
C5875,4,11.75,61,12,2,53,109,125,7,0,1
B6649,5,25,48.5,11.5,1,5,18,51,13,4,0
A6451,5,25,48,12,1,91,322,250,11,0,1
C6348,7,0,9,76.5,3,16,43,147,17,4,0
B6775,5,18,36.25,31.5,2,42,51,98,10,0,1
M9119,3,2.5,56.5,26.75,3,124,393,370,14,8,0
L5011,6,65,21,0,4,31,70,28,9,0,1
A6807,3,16.25,42,28,1,8,64,23,5,0,0
A6506,3,8,38.25,40,1,6,90,63,6,6,0
A6414,2,0,0,86.5,2,4,48,38,5,5,0
B6144,4,27,59.5,0,2,6,19,40,8,4,1
A6276,3,0.5,63,23,2,27,142,101,7,8,0
M8130,1,0,81,6.75,1,20,119,152,6,6,1
10804888,3,7.5,0,80.5,1,76,149,89,5,4,1
S5575,2,0,0,88,1,54,290,174,5,7,0
S7034,5,19,53.75,16.5,3,42,88,209,11,4,1
A6493,6,82.5,3,5,2,6,14,101,12,8,1
K7527,4,25,1.25,64.75,2,33,72,139,10,5,0
B6577,5,14.5,50.75,25.75,1,29,74,109,9,5,1
B6222,4,59.5,16,16,1,6,51,51,5,9,0
A6515,4,11,29.25,51.5,2,5,37,133,8,4,0
A6591,3,16,62,13.75,1,10,49,142,12,5,1
M7169,3,6,10.75,75.25,2,79,235,163,6,5,0
B6159,2,0,8,84,1,9,95,45,2,4,1
S5452,5,69,0,23,1,6,34,48,6,4,1
B6213,5,68,24.25,0,2,12,55,74,7,0,1
C6100,6,0,9.75,83,2,31,71,91,11,5,1
B6945,5,64,19,10,2,8,32,104,10,0,0
C6074,7,0,0,93,1,5,36,136,18,4,0
C6577,5,23.5,34,36,1,73,89,123,13,8,0
B6240,4,0,93.5,0,2,7,130,57,5,4,0
A6222,6,48.75,31,14,2,7,25,46,9,11,0
C5470,3,16,46,32,1,54,136,35,5,0,0
C6978,5,34,0,60,1,7,21,45,8,4,0
A6205,2,0,23,71,2,57,291,342,7,0,0
D5059,4,3,38.5,53,2,38,44,72,11,0,0
C6469,6,4,16,74.5,1,40,48,102,10,0,1
B6537,3,0,2,92.5,1,9,39,67,8,4,0
D5134,6,15,44.25,35.5,1,61,90,101,10,0,0
H9109,5,34.5,50.5,10,3,73,274,176,8,0,0
C6554,4,15.5,36,43.5,1,12,46,31,5,4,0
C6528,5,17,39,39,2,3,48,126,15,5,0
C6845,4,58.5,0,37,1,16,33,61,7,4,0
A6230,7,25.5,7,63,2,5,9,51,12,4,1
A6370,2,3,40,52.5,1,15,41,79,9,5,0
C6158,5,5.5,50.5,40,1,45,182,238,11,7,0
C6009,5,16,80.5,0,1,28,46,43,8,6,1
B6732,2,92.5,4.25,0,1,20,90,54,6,5,1
B6307,2,2,60,35,1,9,45,68,8,6,0
D6148,5,14,73.5,10,1,13,47,109,10,5,0
A6340,7,5,15,77.5,1,24,109,132,12,0,0
A6337,7,0,8,89.5,1,31,222,230,15,0,0
10645504,4,20.5,3.75,74,1,22,65,125,8,4,1
A6243,3,0,9,89.5,1,16,77,163,12,4,0
A6170,4,6,13,80,1,2,63,102,7,0,1
M9137,1,2,94.25,3,1,14,50,54,5,6,0
C6597,3,64,0,35.5,2,1,2,53,7,5,1
10804826,4,0,55,44.5,1,21,98,36,7,4,1
D6049,4,1,47,51.75,1,36,115,183,7,9,0
B6570,5,58.25,14,27.75,1,147,246,269,11,6,0
10805076,5,34,66.5,0,1,6,18,11,6,4,1
P5036,5,6,28.5,66,1,29,66,153,11,4,1
C6219,4,61,12.25,27.5,2,39,47,34,5,4,0
10667643,4,18.75,28.5,54.25,1,43,74,229,12,0,1
B6214,2,0,0,101.5,3,34,118,94,8,6,1
B6469,4,17.25,35.5,49,1,44,122,181,9,0,0
D5030,3,0,73,29,1,31,91,102,5,0,0
M5119,3,0,29,73,1,40,178,284,12,4,0
A6458,6,46.25,46,10.5,1,58,67,221,14,4,1
D5186,2,0,38,65,2,10,25,5,3,4,0
A6338,7,0,10.5,92.5,1,12,163,172,13,0,0
D5057,2,0,23,80.5,3,33,109,213,10,0,0
C5144,3,43,62.25,0,1,239,441,313,6,0,0
K7522,5,86.5,19,0,1,9,18,28,5,7,1
B6248,3,63,42.75,0,2,53,115,191,8,4,0
M6011,3,2,99.25,5,2,27,151,149,6,4,0
B6951,6,25,24.5,57,1,16,41,166,18,5,1
B6334,5,53.5,52.5,1,1,4,23,19,7,5,0
D6128,4,0,16,91,1,37,59,37,8,6,0
B6884,5,10.25,15.25,81.75,1,76,148,473,18,6,0
D5225,7,72.25,25,10,2,300,326,330,9,0,1
10803549,3,31,56.5,20,1,2,39,54,7,0,1
10657670,4,31,4.5,72.5,1,22,52,114,8,4,1
A6490,7,54,28,26,1,2,14,55,12,0,1
J6779,3,2.25,43.5,62.5,1,14,31,38,5,4,0
10805089,3,30,62.5,16,1,4,93,73,6,4,1
A6313,5,2.5,105.25,1,2,12,67,137,11,6,0
H9156,7,98,11,0,3,16,18,49,12,0,1
S5524,6,26.25,16,67,1,113,135,209,13,0,1
B6414,5,20.5,44.5,44.5,1,14,22,44,8,6,1
D6119,4,2,1,106.5,1,56,143,275,10,8,0
C6741,4,90.5,0,19,1,2,15,36,7,4,0
A6167,6,8.75,74,27,2,28,108,84,6,0,0
C6980,6,10,0,100,1,7,24,82,12,4,1
A6348,4,0,53,57,2,13,37,63,8,0,0
D5144,3,8,48,54,3,30,99,90,9,0,1
A6918,5,105,5.5,0,3,8,45,57,8,5,0
B6833,2,0,0,111,2,21,94,75,8,4,1
C6880,5,0,40.5,71,1,25,54,139,14,5,1
B6390,4,3,48,60.5,1,12,66,52,6,0,0
A6665,4,28,59.5,24,1,27,43,72,9,8,0
B6709,2,0,34,78,2,6,60,48,5,0,0
B6130,5,17,56,41,1,20,49,76,8,5,0
C6937,4,41,73,0,1,10,46,128,8,0,0
C6672,5,1,38,75,1,49,102,191,13,4,1
A6215,5,74,29,11,1,17,44,127,18,0,0
B6176,5,7.5,85.5,22,2,105,121,125,9,5,1
B6057,6,55,16.5,43.5,3,3,11,124,16,0,0
C6359,4,22,93.25,0,1,41,90,82,7,6,0
S5391,1,0,50.25,65.5,1,26,113,176,5,0,1
B6306,6,2,32,82,1,6,10,75,20,5,1
B6111,2,56,0,60,1,0,40,23,3,8,0
C6751,5,29,71.5,16,1,13,114,77,11,6,0
