,JobCode,deptcount,srhrs,midhrs,jrhrs,totalhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
1272,A6844,7,332,344.5,316,992.5,2,23,31,71,15,6,0
1369,D6029,8,417,455,123,995,2,81,83,204,25,9,0
1468,10804333,2,2,415.5,578.75,996.25,3,244,364,297,14,8,0
1614,10820295,7,146.5,513.5,338.5,998.5,1,342,183,303,24,10,1
1375,B6174,4,62.75,388.75,550.5,1002,2,53,65,154,12,6,0
392,10874851,9,164.5,330,508,1002.5,1,64,62,165,24,4,0
1256,10803587,5,259,486.25,258,1003.25,2,95,129,106,14,7,0
284,D5085,11,370,403.5,231,1004.5,4,101,146,291,23,0,1
427,10881989,8,94,446.5,464,1004.5,1,115,210,430,26,14,0
707,M5290,2,340.5,653.75,11,1005.25,2,129,177,289,16,11,0
1223,B6392,10,574.75,315,117,1006.75,1,124,91,308,23,4,1
607,C6573,6,420,591.5,0,1011.5,2,112,116,103,11,7,1
204,C6367,5,345,527.75,139.5,1012.25,3,23,71,165,14,0,1
330,10804156,7,282.5,646.5,92.5,1021.5,1,419,299,613,25,7,1
847,B6559,4,292,698.75,32,1022.75,1,153,205,158,13,7,0
988,A6986,14,431,443.5,149.25,1023.75,1,254,147,769,38,7,1
1234,A6163,15,551.75,411.5,65,1028.25,3,208,117,576,43,11,1
1131,10803576,6,166.75,250,618,1034.75,2,416,276,637,24,0,0
145,B6747,5,670.75,312.5,52,1035.25,2,70,74,191,17,0,1
1470,D6292,5,338,469.5,227.75,1035.25,2,101,75,355,28,11,1
1440,H9164,8,223.5,637.25,175,1035.75,4,216,192,510,28,13,1
1389,10840818,11,347,273.25,416.25,1036.5,6,136,90,427,44,10,1
738,D6059,5,506,532.75,0,1038.75,5,63,83,63,12,8,1
383,B6742,5,139.5,445.25,454.5,1039.25,3,88,74,230,21,7,1
1496,10805203,8,169.5,645.5,226,1041,1,142,123,208,29,6,0
410,10860876,7,517.5,382.5,143,1043,2,177,183,259,17,7,1
1730,A6199,8,123,538,384.5,1045.5,2,92,96,193,22,4,1
401,A7210,9,537.25,159.5,349.25,1046,3,75,85,160,17,7,1
679,10757543,9,228.5,591.75,228.5,1048.75,3,311,151,698,29,6,1
871,C6524,7,190.5,409.5,449,1049,1,56,91,160,17,6,1
1454,10803637,9,448,575.5,28.25,1051.75,2,105,94,228,21,5,0
727,10851737,4,132.25,312,607.75,1052,1,241,196,358,18,10,0
392,B6084,5,487.75,476.5,88,1052.25,1,124,103,437,26,13,0
1090,10861619,6,73.5,470,509.5,1053,1,183,255,354,21,4,0
691,10803903,6,445,249,359.25,1053.25,3,80,81,135,18,8,1
1850,B5956,7,176.5,315.5,561.75,1053.75,2,379,404,700,23,0,0
1261,B6275,8,334.25,520.5,201,1055.75,2,165,129,241,23,11,1
346,10818387,8,291,684.5,83,1058.5,4,83,75,246,23,4,1
1274,10804694,10,285,603.5,170,1058.5,3,96,71,104,23,9,1
707,10824548,5,44.5,630,384,1058.5,1,165,64,360,31,10,0
82,10893363,10,431.5,377.5,250.5,1059.5,2,74,28,239,42,23,0
867,10824786,5,612.5,211.5,239.5,1063.5,1,36,38,38,15,5,1
818,10804667,9,47.5,997.5,19.5,1064.5,3,363,297,462,26,7,1
613,A6631,7,832.5,162.5,74.25,1069.25,1,134,144,309,18,5,1
1278,10803539,6,203.25,770.25,97,1070.5,2,47,51,109,21,7,1
389,B6451,8,80.5,902.5,93,1076,1,68,73,94,16,4,1
1037,10803569,8,325.5,394.5,357.75,1077.75,3,673,391,751,25,5,1
89,D6375,10,494,410.5,173.75,1078.25,2,107,53,359,37,6,1
1650,D5184,6,163.75,18,899,1080.75,2,182,242,248,15,5,1
652,10754531,7,258.5,805,19,1082.5,2,77,64,346,24,7,1
663,C6242,5,485.25,307,290.5,1082.75,1,50,106,241,11,0,0
1167,10823050,4,84.5,450,548.25,1082.75,2,43,62,192,19,9,0
138,B6647,7,580.75,128,375,1083.75,1,71,34,160,22,8,1
657,10866174,5,232.5,337.25,514.25,1084,2,52,63,72,15,6,1
1497,10874669,9,540,486.5,60,1086.5,1,171,106,123,20,6,1
1463,10803599,9,541.75,336.75,209,1087.5,4,160,108,184,20,4,1
333,10821819,7,285,449.5,354,1088.5,2,257,153,322,23,4,1
1144,M5299,4,254,545.5,290.75,1090.25,2,301,181,507,25,6,1
1413,B6767,8,466,308.5,317.5,1092,3,115,60,331,37,10,1
231,A6780,8,377,495,221.5,1093.5,2,65,58,80,18,4,1
1631,D6185,4,137,643,316,1096,2,83,114,37,10,4,1
916,A7313,3,233,462,402,1097,1,21,105,41,6,5,0
1800,C6011,10,177,275.5,644.5,1097,1,23,58,193,27,6,0
1711,A6611,8,170.5,829.25,102,1101.75,3,132,127,298,23,11,1
844,10804834,5,488.75,369,249,1106.75,2,149,95,296,23,5,1
1388,10804831,9,386,617.5,107.5,1111,2,60,32,85,35,13,1
1035,10804236,9,595,376.75,139.5,1111.25,2,81,46,468,44,11,0
101,10828711,6,323.75,732.75,61,1117.5,2,102,87,197,17,4,1
577,10832627,3,551,570.5,0,1121.5,1,72,115,31,6,5,0
578,10805199,5,1115.5,7.75,0,1123.25,4,110,92,228,14,4,1
422,10804941,7,382.75,628.5,114,1125.25,3,283,205,471,27,11,1
1269,C6655,9,185,652.75,291.5,1129.25,2,138,88,166,23,13,1
1218,10804869,6,525,561.5,46,1132.5,3,218,200,318,16,4,1
1392,10803618,7,891.25,89,154,1134.25,3,81,95,340,20,9,1
1662,D5227,10,468.25,415.5,252.75,1136.5,5,393,240,706,28,0,1
1523,10814995,9,685.25,320.5,131,1136.75,2,56,38,95,23,5,1
1510,A6996,4,84,334.75,719.5,1138.25,2,40,87,158,9,5,0
1684,B6452,9,538.5,543.5,57.5,1139.5,2,57,59,156,24,11,1
311,10803514,5,651,463.25,27,1141.25,4,53,72,193,16,5,1
250,10804566,5,366,464,317.5,1147.5,1,123,157,253,18,9,0
106,J6520,6,404.5,708.5,37,1150,2,1,37,44,16,7,0
771,D6197,11,281.5,754.5,114.5,1150.5,1,350,135,723,37,14,0
1213,C6440,5,328.5,416.75,408,1153.25,2,181,203,358,17,0,1
788,10803670,6,414.75,278.25,462.25,1155.25,3,226,144,636,28,6,1
1417,H9171,8,876,272.5,8,1156.5,3,90,95,298,24,8,1
1806,C6618,5,395.25,411,351.5,1157.75,1,100,75,330,21,16,0
1796,B6443,12,535.5,437,186.5,1159,2,56,37,351,49,9,0
324,10815066,8,103.25,923,133.5,1159.75,1,116,119,274,23,7,0
767,10804386,6,488,377,295,1160,1,82,55,105,16,8,0
212,10805028,7,2,951.75,208.75,1162.5,1,674,480,545,24,8,1
528,10804482,6,468.5,694.5,0,1163,1,83,101,83,16,0,1
1381,C6086,9,293.5,556,315.75,1165.25,3,225,127,508,36,6,1
1088,10804496,9,854.5,123,191,1168.5,4,71,89,293,26,9,1
747,10805558,8,477.5,499,197,1173.5,2,32,39,138,24,4,1
144,B6484,5,206,370.5,602.5,1179,2,59,58,169,19,13,0
1689,10804538,8,497,328.5,359.25,1184.75,3,242,151,331,25,9,1
1702,A6625,8,670,348,171.5,1189.5,3,48,35,195,33,9,1
1429,10826556,11,353.25,771,66,1190.25,2,414,174,558,31,4,0
1360,10803876,5,309.25,400.5,488.25,1198,3,347,364,991,18,5,0
64,C6444,4,151,628.5,422.75,1202.25,2,163,159,304,16,4,0
879,D6036,12,399,395.5,408,1202.5,5,373,187,839,37,10,0
1298,10816549,6,398,555.75,252.5,1206.25,2,322,226,313,18,5,1
143,10804198,7,894.25,159.5,152.75,1206.5,3,95,67,210,24,9,0
1386,J6518,6,592,522,93,1207,2,86,154,112,13,8,0
1390,10804338,9,388,599,223.5,1210.5,5,70,59,276,31,9,1
1460,A6691,7,599.25,0,611.75,1211,3,41,68,73,15,6,1
1445,C6280,9,123,815.25,274.75,1213,7,447,221,547,27,0,0
1486,C5870,8,275.75,434.5,503,1213.25,2,58,85,144,15,0,1
1180,10804724,8,602,354,258,1214,2,188,112,313,29,12,1
816,B6107,5,8,708,500,1216,2,72,121,144,13,5,1
200,A7471,8,882.75,243.5,90.75,1217,2,107,77,357,32,5,0
810,A6022,6,224.5,363.75,629,1217.25,3,374,74,619,44,5,0
290,C6529,6,1044.25,120.5,53,1217.75,2,181,169,319,18,4,0
121,10856340,3,24,992,203,1219,1,60,91,65,10,4,1
1758,C6083,6,609,533.75,76.5,1219.25,2,100,87,299,27,6,1
1044,C5334,11,800.25,263.75,157,1221,4,348,227,1334,39,0,1
222,A6974,8,624.5,314.5,282,1221,2,24,33,50,18,0,1
1604,10803815,7,341.75,679.5,202.25,1223.5,4,586,344,1147,34,8,1
1345,H9166,6,630,408,185.75,1223.75,6,121,99,190,20,11,1
1074,M5260,4,2.5,1209.25,12.25,1224,3,179,226,444,21,0,1
1486,10822456,5,242.25,303.5,679,1224.75,2,228,202,637,24,7,1
1582,C6260,7,541,656,28.25,1225.25,2,148,72,491,34,8,0
1817,10803578,7,418.5,204.5,603,1226,2,155,85,268,22,6,1
498,C5706,2,0,1227,0,1227,1,14,256,54,4,0,1
1511,10804253,6,459,373,395.25,1227.25,3,608,445,698,27,6,0
