,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
290,10817343,2,2.0,12.0,0.0,0.14285714285714285,0.8571428571428571,0.0,1,0,6,11,4,4,0
291,10817852,3,70.0,93.0,0.0,0.4294478527607362,0.5705521472392638,0.0,3,18,183,58,5,6,1
292,10818355,7,12.0,1.0,141.0,0.07792207792207792,0.006493506493506494,0.9155844155844156,1,16,25,122,20,5,0
293,10818889,8,83.0,116.5,105.0,0.27257799671592775,0.3825944170771757,0.3448275862068966,2,50,73,113,13,6,0
294,10818387,8,291.0,684.5,83.0,0.2749173358526216,0.646669815777043,0.07841284837033538,4,83,75,246,23,4,1
295,10819398,2,0.0,0.0,1.5,0.0,0.0,1.0,1,5,63,54,2,4,0
296,10819843,3,14.0,0.0,0.0,1.0,0.0,0.0,1,15,98,45,4,4,1
297,10819588,5,124.0,48.75,91.0,0.47014218009478675,0.1848341232227488,0.34502369668246446,3,47,65,62,9,7,1
298,10819762,3,20.0,11.5,35.0,0.3007518796992481,0.17293233082706766,0.5263157894736842,3,44,55,56,8,5,1
299,10820192,7,69.0,422.75,122.0,0.11242362525458248,0.6887983706720978,0.19877800407331975,2,132,136,412,20,6,1
300,10823431,6,117.5,112.5,131.0,0.3254847645429363,0.31163434903047094,0.3628808864265928,2,21,38,34,14,8,1
301,10821819,7,285.0,449.5,354.0,0.26182820395039047,0.4129536058796509,0.3252181901699587,2,257,153,322,23,4,1
302,10822263,5,47.0,8.0,31.0,0.5465116279069767,0.09302325581395349,0.36046511627906974,1,17,46,86,9,8,1
303,10822898,8,333.75,340.5,46.5,0.4630593132154006,0.4724245577523413,0.06451612903225806,2,25,39,98,19,7,1
304,10823003,5,201.0,65.75,142.5,0.49114233353695785,0.16065974343310935,0.3481979230299328,4,246,252,459,18,7,1
305,10824623,6,270.75,556.25,80.0,0.29851157662624034,0.6132855567805954,0.08820286659316427,1,195,105,468,28,7,1
306,10827146,11,472.0,517.75,754.5,0.2706034112082557,0.2968324494768525,0.4325641393148918,1,132,58,460,41,10,1
307,10826028,4,136.75,17.0,372.5,0.25985748218527316,0.032304038004750596,0.7078384798099763,3,10,74,76,11,5,1
308,10825139,4,0.0,43.5,371.0,0.0,0.10494571773220748,0.8950542822677925,1,14,85,171,12,6,0
309,10826562,3,1.0,0.0,23.0,0.041666666666666664,0.0,0.9583333333333334,1,18,182,59,7,4,0
310,10825995,4,32.0,464.0,98.0,0.05387205387205387,0.7811447811447811,0.16498316498316498,3,54,73,125,15,6,0
311,10825943,3,76.0,5.0,11.5,0.8216216216216217,0.05405405405405406,0.12432432432432433,1,8,23,6,6,9,0
312,10825461,5,91.0,232.0,21.0,0.26453488372093026,0.6744186046511628,0.061046511627906974,2,29,36,52,10,4,0
313,10825592,3,11.5,337.0,3.0,0.032716927453769556,0.9587482219061166,0.008534850640113799,2,34,102,165,9,6,1
314,10826770,7,40.5,82.5,0.0,0.32926829268292684,0.6707317073170732,0.0,1,26,60,178,12,4,1
315,10826820,4,14.0,61.75,0.0,0.1848184818481848,0.8151815181518152,0.0,1,127,130,143,10,7,0
316,10828090,3,2.0,51.5,72.0,0.01593625498007968,0.4103585657370518,0.5737051792828686,1,17,39,71,8,9,1
317,10829478,2,0.0,0.0,12.0,0.0,0.0,1.0,2,0,19,5,2,4,0
